연료별 국가 고유 발열량(에너지법 시행규칙 별표),,,,,,,,,,,,,,,,,,,,,,
연료명,연료 단위,단위,,총발열량,순발열량,"이산화탄소 배출계수
(kgCO₂/TJ)",메탄 배출계수(kgCH₄/TJ),,,,,,,아산화질소 배출계수(kgN₂O/TJ),,,,,,,,단위
,,에너지법 시행규칙 상,TJ로 환산시,,,,에너지산업,제조업,건설업,상업,공공,가정,기타,에너지산업,제조업,건설업,상업,공공,가정,기타,,
도시가스(LNG),N㎥,MJ/N㎥,"TJ/1,000,000N㎥",43.1,38.9,"56,100",1,1,1,5,5,5,5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,N㎥
LPG,N㎥,MJ/N㎥,"TJ/1,000,000N㎥",50.4,46.3,"63,100",1,1,1,5,5,5,5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,L
경유,L,MJ/L,"TJ/1,000㎥",37.8,35.2,"74,100",3,3,3,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,kg
휘발유,L,MJ/L,"TJ/1,000㎥",32.7,30.4,"69,300",3,3,3,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,
등유,L,MJ/L,"TJ/1,000㎥",36.7,34.2,"71,900",3,3,3,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,
B-C유,L,MJ/L,"TJ/1,000㎥",41.7,39.2,"77,400",3,3,3,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,
B-A유,L,MJ/L,"TJ/1,000㎥",39,36.4,"75,100",3,3,3,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,
B-B유,L,MJ/L,"TJ/1,000㎥",40.5,38,"76,400",3,3,3,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,
천연가스(LNG),kg,MJ/kg,TJ/Gg,54.7,49.4,"56,100",1,1,1,5,5,5,5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,
프로판(LPG1호),kg,MJ/kg,TJ/Gg,50.4,46.3,"63,100",1,1,1,5,5,5,5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,
부탄(LPG3호),kg,MJ/kg,TJ/Gg,49.5,45.7,"63,100",1,1,1,5,5,5,5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,
국내무연탄,kg,MJ/kg,TJ/Gg,19.8,19.4,"98,300",1,10,10,10,10,300,300,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,
연료용 수입무연탄,kg,MJ/kg,TJ/Gg,21.2,20.5,"98,300",1,10,10,10,10,300,300,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,
원료용 수입무연탄,kg,MJ/kg,TJ/Gg,25.2,24.7,"98,300",1,10,10,10,10,300,300,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,
연료용 유연탄(역청탄),kg,MJ/kg,TJ/Gg,24.8,23.7,"94,600",1,10,10,10,10,300,300,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,
원료용 유연탄(역청탄),kg,MJ/kg,TJ/Gg,29.2,28,"94,600",1,10,10,10,10,300,300,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,
아역청탄,kg,MJ/kg,TJ/Gg,21.4,19.9,"96,100",1,10,10,10,10,300,300,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,
코크스,kg,MJ/kg,TJ/Gg,29,28.9,"107,000",1,10,10,10,10,300,300,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,
나프타,L,MJ/L,"TJ/1,000㎥",32.3,29.9,"73,300",3,3,3,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,
용제,L,MJ/L,"TJ/1,000㎥",32.8,30.3,"73,300",3,3,3,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,
항공유,L,MJ/L,"TJ/1,000㎥",36.5,33.9,"70,000",3,3,3,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,
아스팔트,kg,MJ/kg,TJ/Gg,41.4,39.2,"80,700",3,3,3,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,
윤활유,L,MJ/L,"TJ/1,000㎥",40,37.3,"73,300",3,3,3,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,
석유코크스,kg,MJ/kg,TJ/Gg,35,34.2,"97,500",3,3,3,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,
부생연료유1호,L,MJ/L,"TJ/1,000㎥",37.1,34.6,"71,900",3,3,3,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,
부생연료유2호,L,MJ/L,"TJ/1,000㎥",39.9,37.7,"77,400",3,3,3,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,
※ 출처: 온실가스 배출권거래제의 배출량 보고 및 인증에 관한 지침 [별표 12] 연료별 국가 고유 발열량 및 배출계수,,,,,,※ 출처: 온실가스 배출권거래제의 배출량 보고 및 인증에 관한 지침 [별표 10] 2006 IPCC 국가 인벤토리 가이드라인 기본 배출계수,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"연료별, 온실가스별 기본 배출계수(이동연소 [도로])",,,,,,,,,,,,,,,,,,,,,,
연료종류,연료 단위,단위,,총발열량,순발열량,기본 배출계수(kgGHG/TJ),,,,,,,,,,,,,,,,
,,에너지법 시행규칙 상,TJ로 환산시,,,CO₂,CH₄,N₂O,,,,,,,,,,,,,,
휘발유,L,MJ/L,"TJ/1,000㎥",32.7,30.4,"69,300",25,8,,,,,,,,,,,,,,
경유,L,MJ/L,"TJ/1,000㎥",37.8,35.2,"74,100",4,3.9,,,,,,,,,,,,,,
LPG,kg,MJ/kg,TJ/Gg,49.5,45.7,"63,100",62,0.2,,,,,,,,,,,,,,
등유,L,MJ/L,"TJ/1,000㎥",36.7,34.2,"71,900", - , - ,,,,,,,,,,,,,,
윤활유,L,MJ/L,TJ/1000㎥,40,37.3,"73,300", - , - ,,,,,,,,,,,,,,
CNG,N㎥,MJ/N㎥,"TJ/1,000,000N㎥",43.1,38.9,"56,100",92,3,,,,,,,,,,,,,,
LNG,N㎥,MJ/N㎥,"TJ/1,000,000N㎥",43.1,38.9,"56,100",92,3,,,,,,,,,,,,,,
※ 출처: 온실가스 배출권거래제의 배출량 보고 및 인증에 관한 지침 [별표 6] 배출활동별 온실가스 배출량 등의 세부산정방법 및 기준 / [별표 12] 연료별 국가 고유 발열량 및 배출계수,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
외부에서 공급받는 에너지,,,,,,,,,,,,,,,,,,,,,,
연료 종류,단위,"전기 : CO₂(tCO₂/MWh)
스팀 : CO₂(kgCO₂/TJ)","전기 : CH₄(kgCH₄/MWh)
스팀 : CH₄(kgCH₄/TJ)","전기 : N₂O(kgN₂O/MWh)
스팀 : N₂O(kgN₂O/TJ)","전기 : tCO₂/MWh
스팀 : tCO₂/TJ",,,,,,,,,,,,,,,,,
전기(소비기준),kWh,0.4567,0.0036,0.0085,0.4594,,,,,,,,,* 미국 전기 배출계수,,,,,,,,
스팀(열전용),MJ,"56,373",1.278,0.166,56.452,,,,,,,,,국가,단위,lbCO₂/MWh,lbCH₄/MWh,lbN₂O/MWh,tCO₂/MWh,tCH₄/MWh,tN₂O/MWh, tCO₂/MWh
스팀(열병합),MJ,"60,760",2.053,0.549,60.974,,,,,,,,,전기(미국_몽고메리),kWh,893.3,0.064,0.009,0.405193734,2.90299E-05,4.08233E-06,0.407068883
스팀(일반),MJ,"59,510",1.832,0.44,59.685,,,,,,,,,전기(미국_조지아) ,kWh,893.3,0.064,0.009,0.405193734,2.90299E-05,4.08233E-06,0.407068883
[참고] 1cal=4.1868J,,,,,,,,,,,,,,전기(미국_알라바마) ,kWh,893.3,0.064,0.009,0.405193734,2.90299E-05,4.08233E-06,0.407068883
※ 출처: 온실가스 배출권거래제의 배출량 보고 및 인증에 관한 지침 [별표 6] 배출활동별 온실가스 배출량 등의 세부산정방법 및 기준,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,* lb → kg 환산 : ,0.453592
온실가스별 지구온난화 계수,,,,,,,,,,,,,,,,,,,,,,
CO₂,CH₄,N₂O,,,,,,,,,,,,,,,,,,,,
1,21,310,,,,,,,,,,,,,,,,,,,,
※ 출처: 온실가스 배출권의 할당 및 거래에 관한 법률 시행령 [별표 2] 온실가스별 지구온난화 계수 ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
공정배출원 배출계수,,,,,,,,,,,,,,,,,,,,,,
공정배출원,세부항목,단위,CO₂ 단위,CH₄ 단위,,,,,,,,,,,,,,,,,,
구분,세부항목,단위,CO₂(kgCO₂/t생산량),,,석회_생산량,,,,,,,,,,,,,,,,
석회_생산량,생석회,톤,750,,,공정상_탄산염_사용량,,,,,,,,,,,,,,,,
석회_생산량,고토석회(경소백운석),톤,770,,,유리_생산량,,,,,,,,,,,,,,,,
구분,세부항목,단위,CO₂(kgCO₂/t사용량)_탄산염 순도 100% 기준,,,카바이드_생산량,,,,,,,,,,,,,,,,
공정상_탄산염_사용량,석회석(CaCO₃),톤,440,,,소다회_생산량,,,,,,,,,,,,,,,,
공정상_탄산염_사용량,마그네사이트(MgCO₃),톤,522,,,합금철_생산량,,,,,,,,,,,,,,,,
공정상_탄산염_사용량,백운석(CaMg·(CO₃)₂),톤,477,,,아연_생산량,,,,,,,,,,,,,,,,
공정상_탄산염_사용량,능철광(FeCO₃),톤,380,,,납_생산량,,,,,,,,,,,,,,,,
공정상_탄산염_사용량,"철백운석(Ca(Fe,Mg,Mn)(CO₃)₂)",톤,442,,,,,,,,,,,,,,,,,,,
공정상_탄산염_사용량,망간광(MnCO₃),톤,383,,,,,,,,,,,,,,,,,,,
공정상_탄산염_사용량,소다회(Na2CO₃),톤,415,,,,,,,,,,,,,,,,,,,
구분,세부항목,단위,kgCO₂/t생산량_폐유리(컬릿) 재활용 비율 필요,,,,,,,,,,,,,,,,,,,
유리_생산량,판유리,톤,210,,,,,,,,,,,,,,,,,,,
유리_생산량,유리용기(납유리),톤,210,,,,,,,,,,,,,,,,,,,
유리_생산량,유리용기(착색유리),톤,210,,,,,,,,,,,,,,,,,,,
유리_생산량,유리장섬유,톤,190,,,,,,,,,,,,,,,,,,,
유리_생산량,유리단섬유,톤,250,,,,,,,,,,,,,,,,,,,
유리_생산량,브라운관용유리(Panel),톤,180,,,,,,,,,,,,,,,,,,,
유리_생산량,브라운관용유리(Funnel),톤,130,,,,,,,,,,,,,,,,,,,
유리_생산량,가정용 유리제품,톤,100,,,,,,,,,,,,,,,,,,,
유리_생산량,"실험용기, 약병",톤,30,,,,,,,,,,,,,,,,,,,
유리_생산량,전등용유리,톤,200,,,,,,,,,,,,,,,,,,,
구분,세부항목,단위,kgCO₂/t생산량,kgCH₄/t생산량,,,,,,,,,,,,,,,,,,
카바이드_생산량,칼슘카바이드(CaC₂),톤,"1,090",0,,,,,,,,,,,,,,,,,,
카바이드_생산량,실리콘카바이드(SiC),톤,"2,620",11.6,,,,,,,,,,,,,,,,,,
구분,세부항목,단위,kgCO₂/t생산량,,,,,,,,,,,,,,,,,,,
소다회_생산량,소다회(Na₂CO₃),톤,138,,,,,,,,,,,,,,,,,,,
구분,세부항목,단위,kgCO₂/t생산량,,,,,,,,,,,,,,,,,,,
합금철_생산량,합급철(Si 함량 45%),톤,"2,500",,,,,,,,,,,,,,,,,,,
합금철_생산량,합금철(Si 함량 65%),톤,"3,600",,,,,,,,,,,,,,,,,,,
합금철_생산량,합금철(Si 함량 75%),톤,"4,000",,,,,,,,,,,,,,,,,,,
합금철_생산량,합금철(Si 함량 90%),톤,"4,800",,,,,,,,,,,,,,,,,,,
합금철_생산량,망간철(C함량 7%),톤,"1,300",,,,,,,,,,,,,,,,,,,
합금철_생산량,망간철(C함량 1%),톤,"1,500",,,,,,,,,,,,,,,,,,,
합금철_생산량,실리코망간,톤,"1,400",,,,,,,,,,,,,,,,,,,
합금철_생산량,실리콘메탈,톤,"5,000",,,,,,,,,,,,,,,,,,,
구분,세부항목,단위,kgCO₂/t생산량,,,,,,,,,,,,,,,,,,,
아연_생산량,제련 공정 구분 불가,톤,"1,720",,,,,,,,,,,,,,,,,,,
아연_생산량,Waelz Kiln 제련 공정,톤,"3,660",,,,,,,,,,,,,,,,,,,
아연_생산량,전기 열 공정,톤,0,,,,,,,,,,,,,,,,,,,
아연_생산량,건식야금법 공정,톤,430,,,,,,,,,,,,,,,,,,,
구분,세부항목,단위,kgCO₂/t생산량,,,,,,,,,,,,,,,,,,,
납_생산량,납,톤,"5,200",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
폐기물 소각 배출계수,,,,,,,,,,,,,,,,,,,,,,
폐기물 정보,,,,배출계수,,,(참고) 고상폐기물 배출 계수,,,,,,,,,,,,,,,
폐기물 성상,폐기물 형태,폐기물 세분류,단위,"CO₂
(tCO₂/t-Waste)","CH₄
(tCH₄/t-Waste)","N₂O
(tN₂O/t-Waste)",dm,CF,FCF,곱,,,,,,,,,,,,
고상,생활폐기물,종이류,톤,0.01516896,0.0000061,0.0000521,0.9,0.46,0.01,0.00414,,,,,,,,,,,,
고상,생활폐기물,섬유류,톤,0.29312,0.0000061,0.0000521,0.8,0.5,0.2,0.08,,,,,,,,,,,,
고상,생활폐기물,음식물류,톤,0,0.0000061,0.0000521,0.4,0.38,0,0,,,,,,,,,,,,
고상,생활폐기물,나무류,톤,0,0.0000061,0.0000521,0.85,0.5,0,0,,,,,,,,,,,,
고상,생활폐기물,정원 및 공원 폐기물류,톤,0,0.0000061,0.0000521,0.4,0.49,0,0,,,,,,,,,,,,
고상,생활폐기물,기저귀,톤,0.102592,0.0000061,0.0000521,0.4,0.7,0.1,0.028,,,,,,,,,,,,
고상,생활폐기물,고무 피혁류,톤,0.41241984,0.0000061,0.0000521,0.84,0.67,0.2,0.11256,,,,,,,,,,,,
고상,생활폐기물,플라스틱류,톤,2.748,0.0000061,0.0000521,1,0.75,1,0.75,,,,,,,,,,,,
고상,생활폐기물,금속류,톤,3.664,0.0000061,0.0000521,1,-,-,1,,,,,,,,,,,,
고상,생활폐기물,유리류,톤,3.664,0.0000061,0.0000521,1,-,-,1,,,,,,,,,,,,
고상,생활폐기물,기타 생활폐기물,톤,0.098928,0.0000061,0.0000521,0.9,0.03,1,0.027,,,,,,,,,,,,
고상,사업장폐기물,"음식물류(음식, 음료 및 담배)",톤,0,0.0000139,0.0001297,0.4,0.15,0,0,,,,,,,,,,,,
고상,사업장폐기물,폐섬유류,톤,0.1875968,0.0000139,0.0001297,0.8,0.4,0.16,0.0512,,,,,,,,,,,,
고상,사업장폐기물,폐목재류,톤,0,0.0000139,0.0001297,0.85,0.43,0,0,,,,,,,,,,,,
고상,사업장폐기물,폐지류,톤,0.01352016,0.0000139,0.0001297,0.9,0.41,0.01,0.00369,,,,,,,,,,,,
고상,사업장폐기물,"석유제품, 용매, 플라스틱류",톤,2.34496,0.0000139,0.0001297,1,0.8,0.8,0.64,,,,,,,,,,,,
고상,사업장폐기물,폐합성고무,톤,0.293002752,0.0000139,0.0001297,0.84,0.56,0.17,0.079968,,,,,,,,,,,,
고상,사업장폐기물,건설 및 파쇄 잔재물,톤,0.175872,0.0000139,0.0001297,1,0.24,0.2,0.048,,,,,,,,,,,,
고상,사업장폐기물,기타 사업장 폐기물,톤,0.00395712,0.0000139,0.0001297,0.9,0.04,0.03,0.00108,,,,,,,,,,,,
고상,사업장폐기물,폐수 슬러지(오니),톤,0,0.0000139,0.0001297,0.35,0.45,0,0,,,,,,,,,,,,
고상,사업장폐기물,의료폐기물,톤,0.23816,0.0000139,0.0001297,0.65,0.4,0.25,0.065,,,,,,,,,,,,
고상,하수슬러지,하수 슬러지(오니),톤,0,0.0000763,0.000595,0.1,0.45,0,0,,,,,,,,,,,,
액상,생활폐기물,-,톤,2.9312,0.0000061,0.0000521,-,0.8,-,0.8,,,,,,,,,,,,
액상,사업장폐기물,-,톤,2.9312,0.0000139,0.0001297,-,0.8,-,0.8,,,,,,,,,,,,
기상,기상폐기물,폐가스,톤,2.8512,0.0001935,0.00000387,,,,,,,,,,,,,,,,
기상,기상폐기물,바이오가스(메탄),톤,2.7518,0.000252,0.00000504,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
표준산업분류 중분류,,,,,,,,,,,,,,,,,,,,,,
구분,코드,배출계수 적용 기준,,,,,,,,,,,,,,,,,,,,
농업,01,가정∙기타,,,,,,,,,,,,,,,,,,,,
임업,02,가정∙기타,,,,,,,,,,,,,,,,,,,,
어업,03,가정∙기타,,,,,,,,,,,,,,,,,,,,
"석탄, 원유 및 천연가스 광업",05,제조업∙건설업,,,,,,,,,,,,,,,,,,,,
금속 광업,06,제조업∙건설업,,,,,,,,,,,,,,,,,,,,
비금속광물 광업; 연료용 제외,07,제조업∙건설업,,,,,,,,,,,,,,,,,,,,
광업 지원 서비스업,08,제조업∙건설업,,,,,,,,,,,,,,,,,,,,
식료품 제조업,10,제조업∙건설업,,,,,,,,,,,,,,,,,,,,
음료 제조업,11,제조업∙건설업,,,,,,,,,,,,,,,,,,,,
담배 제조업,12,제조업∙건설업,,,,,,,,,,,,,,,,,,,,
섬유제품 제조업; 의복 제외,13,제조업∙건설업,,,,,,,,,,,,,,,,,,,,
"의복, 의복 액세서리 및 모피제품 제조업",14,제조업∙건설업,,,,,,,,,,,,,,,,,,,,
"가죽, 가방 및 신발 제조업",15,제조업∙건설업,,,,,,,,,,,,,,,,,,,,
목재 및 나무제품 제조업; 가구 제외,16,제조업∙건설업,,,,,,,,,,,,,,,,,,,,
"펄프, 종이 및 종이제품 제조업",17,제조업∙건설업,,,,,,,,,,,,,,,,,,,,
인쇄 및 기록매체 복제업,18,제조업∙건설업,,,,,,,,,,,,,,,,,,,,
"코크스, 연탄 및 석유정제품 제조업",19,제조업∙건설업,,,,,,,,,,,,,,,,,,,,
화학 물질 및 화학제품 제조업; 의약품 제외,20,제조업∙건설업,,,,,,,,,,,,,,,,,,,,
의료용 물질 및 의약품 제조업,21,제조업∙건설업,,,,,,,,,,,,,,,,,,,,
고무 및 플라스틱제품 제조업,22,제조업∙건설업,,,,,,,,,,,,,,,,,,,,
비금속 광물제품 제조업,23,제조업∙건설업,,,,,,,,,,,,,,,,,,,,
1차 금속 제조업,24,제조업∙건설업,,,,,,,,,,,,,,,,,,,,
금속 가공제품 제조업; 기계 및 가구 제외,25,제조업∙건설업,,,,,,,,,,,,,,,,,,,,
"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",26,제조업∙건설업,,,,,,,,,,,,,,,,,,,,
"의료, 정밀, 광학 기기 및 시계 제조업",27,제조업∙건설업,,,,,,,,,,,,,,,,,,,,
전기장비 제조업,28,제조업∙건설업,,,,,,,,,,,,,,,,,,,,
기타 기계 및 장비 제조업,29,제조업∙건설업,,,,,,,,,,,,,,,,,,,,
자동차 및 트레일러 제조업,30,제조업∙건설업,,,,,,,,,,,,,,,,,,,,
기타 운송장비 제조업,31,제조업∙건설업,,,,,,,,,,,,,,,,,,,,
가구 제조업,32,제조업∙건설업,,,,,,,,,,,,,,,,,,,,
기타 제품 제조업,33,제조업∙건설업,,,,,,,,,,,,,,,,,,,,
산업용 기계 및 장비 수리업,34,,,,,,,,,,,,,,,,,,,,,
"전기, 가스, 증기 및 공기 조절 공급업",35,에너지 산업,,,,,,,,,,,,,,,,,,,,
수도업,36,상업∙공공,,,,,,,,,,,,,,,,,,,,
"하수, 폐수 및 분뇨 처리업",37,상업∙공공,,,,,,,,,,,,,,,,,,,,
"폐기물 수집, 운반, 처리 및 원료 재생업",38,상업∙공공 (소분류코드 383은 제조업∙건설업),,,,,,,,,,,,,,,,,,,,
환경 정화 및 복원업,39,상업∙공공,,,,,,,,,,,,,,,,,,,,
종합 건설업,41,제조업∙건설업,,,,,,,,,,,,,,,,,,,,
전문직별 공사업,42,제조업∙건설업,,,,,,,,,,,,,,,,,,,,
자동차 및 부품 판매업,45,상업∙공공,,,,,,,,,,,,,,,,,,,,
도매 및 상품 중개업,46,상업∙공공,,,,,,,,,,,,,,,,,,,,
소매업; 자동차 제외,47,상업∙공공,,,,,,,,,,,,,,,,,,,,
육상 운송 및 파이프라인 운송업,49,상업∙공공,,,,,,,,,,,,,,,,,,,,
수상 운송업,50,상업∙공공,,,,,,,,,,,,,,,,,,,,
항공 운송업,51,상업∙공공,,,,,,,,,,,,,,,,,,,,
창고 및 운송관련 서비스업,52,상업∙공공,,,,,,,,,,,,,,,,,,,,
숙박업,55,상업∙공공,,,,,,,,,,,,,,,,,,,,
음식점 및 주점업,56,상업∙공공,,,,,,,,,,,,,,,,,,,,
출판업,58,제조업∙건설업 (세분류코드 5821은상업∙공공),,,,,,,,,,,,,,,,,,,,
영상․오디오 기록물 제작 및 배급업,59,제조업∙건설업 (세분류코드 5912은 상업∙공공),,,,,,,,,,,,,,,,,,,,
방송업,60,상업∙공공,,,,,,,,,,,,,,,,,,,,
우편 및 통신업,61,상업∙공공,,,,,,,,,,,,,,,,,,,,
"컴퓨터 프로그래밍, 시스템 통합 및 관리업",62,상업∙공공,,,,,,,,,,,,,,,,,,,,
정보서비스업,63,상업∙공공,,,,,,,,,,,,,,,,,,,,
금융업,64,상업∙공공,,,,,,,,,,,,,,,,,,,,
보험 및 연금업,65,상업∙공공,,,,,,,,,,,,,,,,,,,,
금융 및 보험관련 서비스업,66,상업∙공공,,,,,,,,,,,,,,,,,,,,
부동산업,68,상업∙공공,,,,,,,,,,,,,,,,,,,,
연구개발업,70,상업∙공공,,,,,,,,,,,,,,,,,,,,
전문 서비스업,71,상업∙공공,,,,,,,,,,,,,,,,,,,,
"건축 기술, 엔지니어링 및 기타 과학기술 서비스업",72,상업∙공공,,,,,,,,,,,,,,,,,,,,
"기타 전문, 과학 및 기술 서비스업",73,상업∙공공,,,,,,,,,,,,,,,,,,,,
사업시설 관리 및 조경 서비스업,74,상업∙공공,,,,,,,,,,,,,,,,,,,,
사업 지원 서비스업,75,상업∙공공,,,,,,,,,,,,,,,,,,,,
임대업; 부동산 제외,76,,,,,,,,,,,,,,,,,,,,,
"공공 행정, 국방 및 사회보장 행정",84,상업∙공공,,,,,,,,,,,,,,,,,,,,
교육 서비스업,85,상업∙공공,,,,,,,,,,,,,,,,,,,,
보건업,86,상업∙공공,,,,,,,,,,,,,,,,,,,,
사회복지 서비스업,87,상업∙공공,,,,,,,,,,,,,,,,,,,,
"창작, 예술 및 여가관련 서비스업",90,상업∙공공,,,,,,,,,,,,,,,,,,,,
스포츠 및 오락관련 서비스업,91,상업∙공공,,,,,,,,,,,,,,,,,,,,
협회 및 단체,94,상업∙공공,,,,,,,,,,,,,,,,,,,,
개인 및 소비용품 수리업,95,상업∙공공,,,,,,,,,,,,,,,,,,,,
기타 개인 서비스업,96,상업∙공공,,,,,,,,,,,,,,,,,,,,
가구 내 고용활동,97,상업∙공공,,,,,,,,,,,,,,,,,,,,
달리 분류되지 않은 자가 소비를 위한 가구의 재화 및 서비스 생산활동,98,가정∙기타,,,,,,,,,,,,,,,,,,,,
국제 및 외국기관,99,상업∙공공,,,,,,,,,,,,,,,,,,,,
